seed,run,variant,success,waypoints_reached,collisions,min_clearance_m,mission_time_s,path_length_m,max_speed_mps
seed4,1,switchdist01_v10_full,True,5,1,0.01,29.6,225.416,10.001
seed4,2,switchdist01_v10_full,True,5,3,0.01,28.46,218.352,10.0
seed4,3,switchdist01_v10_full,True,5,2,0.015,29.39,219.003,9.994
seed4,4,switchdist01_v10_full,True,5,0,0.296,29.0,218.387,9.999
seed4,5,switchdist01_v10_full,True,5,0,0.362,29.21,216.18,10.001
seed5,1,switchdist01_v10_full,True,5,4,0.026,28.8,221.261,10.0
seed5,2,switchdist01_v10_full,True,5,3,0.018,28.33,217.173,9.998
seed5,3,switchdist01_v10_full,True,5,5,0.021,28.6,216.639,9.999
seed5,4,switchdist01_v10_full,True,5,3,0.015,27.7,219.832,10.0
seed5,5,switchdist01_v10_full,True,5,2,0.019,29.25,221.357,10.0
seed6,1,switchdist01_v10_full,True,5,0,0.235,27.16,215.728,10.0
seed6,2,switchdist01_v10_full,True,5,2,0.009,28.75,216.486,10.0
seed6,3,switchdist01_v10_full,True,5,4,0.015,28.65,220.034,10.0
seed6,4,switchdist01_v10_full,True,5,2,0.015,28.81,221.023,10.0
seed6,5,switchdist01_v10_full,True,5,9,0.005,28.49,216.261,10.0
seed7,1,switchdist01_v10_full,True,5,6,0.008,29.21,218.644,9.997
seed7,2,switchdist01_v10_full,True,5,9,0.01,30.46,215.71,10.0
seed7,3,switchdist01_v10_full,True,5,8,0.015,30.54,221.846,10.0
seed7,4,switchdist01_v10_full,True,5,2,0.029,30.32,216.021,9.987
seed7,5,switchdist01_v10_full,True,5,6,0.006,30.0,220.663,9.999
seed8,1,switchdist01_v10_full,True,5,6,0.009,28.4,214.56,10.0
seed8,2,switchdist01_v10_full,True,5,8,0.003,29.76,219.048,10.0
seed8,3,switchdist01_v10_full,True,5,4,0.005,29.06,218.604,10.0
seed8,4,switchdist01_v10_full,True,5,7,0.011,28.12,216.79,10.0
seed8,5,switchdist01_v10_full,True,5,5,0.023,29.79,218.907,9.995
seed9,1,switchdist01_v10_full,True,5,5,0.003,32.69,221.145,10.0
seed9,2,switchdist01_v10_full,True,5,7,0.01,33.61,222.372,9.991
seed9,3,switchdist01_v10_full,False,1,4,0.01,85.0,66.329,10.0
seed9,4,switchdist01_v10_full,True,5,24,0.007,30.55,228.21,10.0
seed9,5,switchdist01_v10_full,True,5,8,0.01,33.81,222.792,10.0
seed10,1,switchdist01_v10_full,True,5,19,0.006,30.78,221.703,9.997
seed10,2,switchdist01_v10_full,True,5,9,0.007,31.86,219.791,10.0
seed10,3,switchdist01_v10_full,True,5,6,0.004,32.05,221.853,10.001
seed10,4,switchdist01_v10_full,True,5,12,0.003,33.13,226.426,10.0
seed10,5,switchdist01_v10_full,True,5,12,0.015,30.55,216.678,9.999
seed1,1,planninghorizon14_v10_full,True,5,0,0.488,33.68,213.213,9.997
seed1,2,planninghorizon14_v10_full,False,4,0,0.376,85.01,193.049,9.999
seed1,3,planninghorizon14_v10_full,False,0,0,,85.01,0.0,0.0
seed1,4,planninghorizon14_v10_full,False,0,0,,85.0,0.0,0.0
seed1,5,planninghorizon14_v10_full,True,5,0,0.398,59.67,212.007,9.998
seed2,1,planninghorizon14_v10_full,False,0,0,0.832,85.0,3.971,9.975
seed2,2,planninghorizon14_v10_full,False,0,0,0.648,85.01,8.576,9.603
seed2,3,planninghorizon14_v10_full,True,5,1,0.042,40.16,214.427,9.992
seed2,4,planninghorizon14_v10_full,False,0,0,0.633,85.01,14.706,9.982
seed2,5,planninghorizon14_v10_full,False,0,1,0.004,85.0,10.056,9.889
seed3,1,planninghorizon14_v10_full,False,4,0,0.294,85.01,191.48,9.995
seed3,2,planninghorizon14_v10_full,False,1,0,0.432,85.0,55.673,9.998
seed3,3,planninghorizon14_v10_full,False,3,1,0.014,85.0,170.269,9.999
seed3,4,planninghorizon14_v10_full,False,4,0,0.237,85.01,185.311,9.99
seed3,5,planninghorizon14_v10_full,False,4,0,0.301,85.01,179.214,9.985
seed4,1,planninghorizon14_v10_full,False,1,0,0.297,85.0,68.531,9.989
seed4,2,planninghorizon14_v10_full,False,2,1,0.126,85.0,106.692,9.998
seed4,3,planninghorizon14_v10_full,False,1,1,0.041,85.01,68.709,9.999
seed4,4,planninghorizon14_v10_full,False,0,0,0.491,85.01,14.807,7.507
seed4,5,planninghorizon14_v10_full,False,0,0,0.716,85.01,6.486,8.605
seed5,1,planninghorizon14_v10_full,False,1,0,0.412,85.0,49.038,9.902
seed5,2,planninghorizon14_v10_full,False,2,3,0.003,85.0,103.649,9.994
