map,run,mode,success,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,samples,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,perf_row_start,perf_row_end
seed3,1,full,True,37.01,5,5,0,0.633,3700,9057.139593908629,1.575706302030457,0.6304469974619289,0.9438178705583756,0.3842555152284264,,85.46953848347964,7.36825047202526,0,394
seed3,1,sector,True,36.97,5,5,0,0.493,3688,2787.7237851662403,0.6475976086956521,0.20567646035805626,0.44051802813299235,0.22447965217391305,31,82.44414608141328,7.546142126569132,0,391
seed3,1,adaptive,True,38.87,5,5,0,0.638,3886,2777.946731234867,0.6631925351089588,0.2026896004842615,0.4591391210653753,0.2358976803874092,31,84.80730814581952,8.261106187240747,0,413
seed3,2,full,True,36.55,5,5,0,0.545,3652,8873.396325459318,1.5764253490813647,0.6239462703412073,0.9511715826771653,0.39601756430446194,,86.08646766592557,7.713179988771531,0,381
seed3,2,sector,True,37.2,5,5,0,0.568,3712,2771.3478260869565,0.6738034757033248,0.20492379283887469,0.4674703171355499,0.23665994373401533,30,83.31950059860593,8.131709769894606,0,391
seed3,2,adaptive,True,37.72,5,5,0,0.691,3766,2729.716417910448,0.6315969353233831,0.19573855970149254,0.43448541542288555,0.22094109452736319,30,84.83452535345941,8.327242871518829,0,402
seed3,3,full,True,38.18,5,5,0,0.647,3817,9160.488778054863,1.5904513965087281,0.6569459451371572,0.9317348628428928,0.3783451596009975,,84.01915736417058,7.042853568933252,0,401
seed3,3,sector,True,37.48,5,5,0,0.622,3744,2726.8756345177667,0.6126852639593908,0.1928525152284264,0.4185176649746193,0.21178102538071067,30,85.17396542548794,8.546945490821807,0,394
seed3,3,adaptive,True,38.52,5,5,0,0.673,3846,2769.221411192214,0.6526004306569343,0.19861027493917274,0.45259937712895376,0.23090570316301703,31,81.35537371048407,8.242702010107575,0,411
seed3,4,full,True,37.3,5,5,0,0.609,3725,8960.739130434782,1.5158463631713555,0.6067663145780051,0.9076143273657289,0.373846452685422,,85.9489063638819,7.1633513894130685,0,391
seed3,4,sector,True,38.24,5,5,0,0.647,3815,2807.385185185185,0.6081862370370371,0.19278977283950616,0.4143065777777778,0.2083021012345679,31,83.94703654462593,7.840597578337506,0,405
seed3,4,adaptive,True,37.65,5,5,0,0.592,3758,2719.5502512562816,0.6553185778894473,0.2051348040201005,0.44886796984924626,0.23061848994974873,30,85.0573688164996,8.24572382291411,0,398
seed3,5,full,True,38.15,5,5,0,0.683,3812,9001.152882205513,1.6038672481203007,0.6542005363408521,0.9480723157894737,0.3815292155388471,,86.74800106144546,7.282827212949088,0,399
seed3,5,sector,True,36.98,5,5,0,0.533,3691,2781.0510204081634,0.6881865714285715,0.209386375,0.4774716122448979,0.24552195663265303,31,85.21188800102739,7.5560641591514,0,392
seed3,5,adaptive,True,36.99,5,5,0,0.642,3698,2841.992327365729,0.6685550179028132,0.2070451841432225,0.46032690792838876,0.23701487212276215,31,85.06132682548629,8.280910629946533,0,391
seed4,1,full,True,37.85,5,5,0,0.705,3783,8119.275184275184,1.5246679238329237,0.6113168501228501,0.9118940982800983,0.37160508845208845,,85.89056288712884,6.908048154934257,0,407
seed4,1,sector,True,38.07,5,5,0,0.679,3802,2552.0611246943763,0.6423337872860635,0.19552712224938876,0.4454259486552567,0.2263232151589242,32,83.07986906737825,7.5373820608530515,0,409
seed4,1,adaptive,True,38.37,5,5,0,0.708,3834,2528.5509708737864,0.6021870194174758,0.18573783737864077,0.4150306941747573,0.21160013106796116,31,83.30101786142846,8.56951259120895,0,412
seed4,2,full,True,38.25,5,5,0,0.65,3822,8171.69756097561,1.415170068292683,0.5668434487804879,0.8469314756097561,0.34077690243902437,,85.65406447478516,7.5677661888914995,0,410
seed4,2,sector,True,38.06,5,5,0,0.661,3804,2458.9901960784314,0.610757568627451,0.18556732598039216,0.4238863455882353,0.21468523284313726,31,82.55998102156498,7.4691696848902716,0,408
seed4,2,adaptive,True,38.12,5,5,0,0.619,3812,2497.596577017115,0.6285498533007335,0.1950402151589242,0.43216167970660146,0.21933948655256724,31,85.0383317910739,8.267502811942428,0,409
seed4,3,full,True,38.52,5,5,0,0.719,3844,8010.544794188862,1.5034510217917676,0.6022047602905569,0.8998231622276028,0.36423104600484263,,86.84913039398334,7.324492716163805,0,413
seed4,3,sector,True,37.53,5,5,0,0.693,3752,2508.563275434243,0.590933776674938,0.18115345905707195,0.4084560148883375,0.2078969106699752,31,84.29739116749988,8.498025519370922,0,403
seed4,3,adaptive,True,37.52,5,5,0,0.671,3744,2456.2158808933004,0.6443571588089331,0.18991685607940445,0.45316240942928043,0.23423102977667495,31,83.90740763364967,8.277685406720803,0,403
seed4,4,full,True,37.62,5,5,0,0.637,3760,8204.138271604937,1.4184153777777777,0.5697665111111111,0.8473424666666667,0.3421485209876543,,85.38626709369801,7.65053305836668,0,405
seed4,4,sector,True,37.76,5,5,0,0.67,3771,2605.3177339901476,0.5935247192118227,0.1863975,0.40583081527093595,0.2056178103448276,32,83.3253137665286,8.650223824670508,0,406
seed4,4,adaptive,True,38.94,5,5,0,0.665,3888,2467.8516746411483,0.6469149210526316,0.1912191052631579,0.45447288755980864,0.2345308086124402,31,86.7156372480947,7.452245416987384,0,418
seed4,5,full,True,37.79,5,5,0,0.669,3777,8152.632098765432,1.5063173333333333,0.6072061185185186,0.8976376419753086,0.35832867901234566,,86.1807920332692,7.088203025293842,0,405
seed4,5,sector,True,38.3,5,5,0,0.545,3828,2510.9659367396594,0.6306840875912408,0.19123606569343066,0.4381573576642336,0.22478492457420926,32,81.92278160235828,7.829685446801085,0,411
seed4,5,adaptive,True,37.77,5,5,0,0.635,3776,2405.19012345679,0.645461748148148,0.1872246913580247,0.45700384197530863,0.2384741135802469,31,86.30487146375566,7.450892043786801,0,405
seed5,1,full,True,38.74,5,5,0,0.537,3865,9756.311518324608,1.7407730471204188,0.6646302853403141,1.074869267015707,0.436222497382199,,87.0213911148051,7.212852434979603,0,382
seed5,1,sector,True,38.18,5,5,0,0.492,3812,3167.5833333333335,0.7630678411458333,0.22773301041666666,0.5341386302083333,0.2758757213541667,32,81.00028176404192,7.746703555036406,0,384
seed5,1,adaptive,True,38.54,5,5,0,0.482,3848,3146.223076923077,0.7865075025641025,0.2294845923076923,0.5557446871794872,0.29102251282051284,32,84.82697882948669,8.256586842849899,0,390
seed5,2,full,True,37.72,5,5,0,0.511,3772,9871.169712793733,1.8816481958224542,0.7401932793733682,1.139975770234987,0.47571359791122714,,87.49651839222099,7.683260832327229,0,383
