map,run,mode,success,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,samples,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,perf_row_start,perf_row_end
seed4,2,adaptive,True,26.56,5,5,0,0.564,2642,5072.373563218391,1.2541814942528735,0.31997648275862073,0.9328543908045976,0.5164998275862069,33,0,174
seed4,3,full,True,27.33,5,5,0,0.601,2695,14954.270967741935,2.855949741935484,0.9493735161290323,1.9051677225806452,0.8631028774193549,,0,155
seed4,3,sector,True,27.4,5,5,0,0.442,2710,5214.12962962963,1.2804377037037038,0.3344510679012346,0.9445349074074074,0.5190187901234568,33,0,162
seed4,3,adaptive,True,27.1,5,5,0,0.468,2678,4958.2397660818715,1.2915899649122806,0.3313720994152047,0.9590370467836258,0.5384103274853801,31,0,171
seed4,4,full,True,26.83,5,5,0,0.483,2625,15292.644295302014,3.0453040939597313,1.008917657718121,2.0348422214765103,0.95424377852349,,0,149
seed4,4,sector,True,26.9,5,5,0,0.61,2637,5274.347305389221,1.2767003293413175,0.33367625149700597,0.9418624191616767,0.5250626526946108,34,0,167
seed4,4,adaptive,True,26.94,5,5,0,0.476,2657,4995.878612716763,1.2605130173410406,0.3309200809248555,0.9283032716763006,0.513614260115607,32,0,173
seed4,5,full,True,26.5,5,5,0,0.585,2582,15224.384615384615,3.1529154487179487,1.0380631474358974,2.113345314102564,0.9921053525641026,,0,156
seed4,5,sector,True,26.86,5,5,0,0.501,2676,5111.937142857143,1.23065212,0.3232430114285714,0.9060656,0.5044192171428572,33,0,175
seed4,5,adaptive,True,27.6,5,5,0,0.532,2746,5110.548571428571,1.2145390285714286,0.31589949142857143,0.8971074628571428,0.4941018971428571,32,0,175
seed5,1,full,True,27.32,5,5,0,0.24,2716,20428.214285714286,6.233908214285714,1.379688892857143,4.8524014285714285,2.871248857142857,,0,28
seed5,1,sector,True,27.93,5,5,0,0.437,2782,7775.100628930818,1.6683632452830188,0.44749952201257864,1.2194398301886793,0.7045742452830188,32,0,159
seed5,1,adaptive,True,28.04,5,5,0,0.351,2748,7093.44,2.04961768,0.43090496,1.6172084,0.9887536933333334,31,0,75
seed5,2,full,True,27.33,5,5,0,0.535,2658,21506.081632653062,5.430561020408163,1.2827528775510204,4.1463081632653065,2.387423081632653,,0,49
