map,run,mode,success,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,samples,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,perf_row_start,perf_row_end
seed3,5,full,True,27.52,5,5,0,0.512,2728,17570.993710691822,3.9860773584905664,1.4510701194968554,2.533109534591195,1.2564525911949684,,99.66368960340519,10.967791404856213,0,159
seed3,5,sector,True,26.77,5,5,0,0.414,2662,5617.875,1.73375676,0.48426968,1.247790195,0.7262628050000001,30,99.62222769593446,11.808028730802592,0,200
seed3,5,adaptive,True,27.64,5,5,0,0.515,2731,5615.60663507109,1.8108836445497631,0.49534953554502364,1.3139367156398103,0.7704312037914692,31,101.4951349881051,11.838141256018213,0,211
seed4,1,full,True,27.31,5,5,0,0.423,2689,16145.84,3.8785265,1.45818761,2.4183841850000003,1.1611602650000001,,100.52710831073948,11.14820331145285,0,200
seed4,1,sector,True,28.12,5,5,0,0.511,2791,5407.760956175299,1.5631538047808766,0.4741478486055777,1.087400155378486,0.6148397768924303,32,99.27433515625454,12.539173330045342,0,251
seed4,1,adaptive,True,28.15,5,5,0,0.438,2754,5189.178723404255,1.594268714893617,0.45147097872340425,1.1410330170212766,0.6486685489361702,32,99.34099578801813,11.758974674030227,0,235
seed4,2,full,True,27.71,5,5,0,0.51,2734,16019.756345177664,3.8243538578680205,1.430761035532995,2.391700411167513,1.1430258274111675,,102.53158945098829,10.597906861775424,0,197
seed4,2,sector,True,28.46,5,5,0,0.634,2822,5231.995495495496,1.6882755855855855,0.4859244684684685,1.200654882882883,0.6891375,33,99.02550430976738,11.689428863601416,0,222
seed4,2,adaptive,True,27.81,5,5,0,0.479,2692,4808.309392265193,1.783826226519337,0.4501083701657459,1.3319899834254145,0.7983173756906078,31,97.8744805099937,11.211884267953733,0,181
seed4,3,full,True,28.92,5,5,0,0.546,2846,15720.69082125604,3.732087004830918,1.3994259758454106,2.3308619758454108,1.105316342995169,,102.1562478456172,10.475522737574533,0,207
seed4,3,sector,True,30.32,5,5,0,0.509,2884,5249.563025210084,1.5826889159663866,0.45831684033613446,1.1227061890756302,0.6332601218487395,32,99.32834122233824,11.962189815202171,0,238
seed4,3,adaptive,True,28.17,5,5,0,0.508,2770,5128.579166666666,1.6529004375,0.4774509875,1.1738220833333335,0.6716739041666667,32,101.45757941141329,11.843308452194359,0,240
seed4,4,full,True,27.91,5,5,0,0.473,2719,15889.331606217616,3.8882099481865287,1.4296310518134714,2.4567258963730567,1.1926471606217617,,101.12240564129485,10.476285530601205,0,193
seed4,4,sector,True,28.96,5,5,0,0.523,2861,5305.413265306122,1.7693232653061226,0.4665663826530612,1.3013356785714285,0.7446489081632652,33,99.01455765729162,11.377161508440478,0,196
seed4,4,adaptive,True,28.84,5,5,0,0.62,2862,4948.960698689956,1.672696021834061,0.45189436681222706,1.2191729082969431,0.6943412314410481,32,99.71438308627454,11.71827398968588,0,229
seed4,5,full,True,28.3,5,5,0,0.482,2809,15978.269607843138,3.781769901960784,1.4078081960784314,2.3721223480392157,1.1365108039215688,,101.49818344226678,10.838840879878974,0,204
seed4,5,sector,True,29.2,5,5,0,0.52,2911,5272.058091286307,1.637837543568465,0.4719453278008299,1.1641630954356847,0.6637930331950207,32,100.71486541295762,11.941935297313416,0,241
seed4,5,adaptive,True,28.1,5,5,0,0.442,2793,5062.588785046729,1.6569552102803737,0.4325091214953271,1.2230504906542057,0.7129556168224299,32,99.18220066210938,12.017495361218266,0,214
seed5,1,full,True,27.82,5,5,0,0.458,2755,21877.848484848484,5.646919393939394,1.6929992121212123,3.9520752525252525,2.1622713535353535,,95.8830093724336,10.819648533032383,0,99
seed5,1,sector,True,28.47,5,5,0,0.424,2813,7704.557788944724,2.282643487437186,0.6652084673366834,1.6156966834170856,0.9520251809045226,30,98.51932553695008,12.091404190316734,0,199
seed5,1,adaptive,True,28.5,5,5,0,0.455,2819,6990.587096774194,2.505955929032258,0.6217016838709678,1.8823196516129033,1.147505187096774,30,98.02563140396511,11.202561052199501,0,155
seed5,2,full,True,29.25,5,5,0,0.538,2887,23604.327586206895,5.994592155172414,2.016708672413793,3.975959741379311,2.1268729051724136,,98.42071944618156,10.535569596239883,0,116
seed5,2,sector,True,28.72,5,5,0,0.567,2852,7328.157303370786,2.3356639101123595,0.6375588314606742,1.6961050786516856,1.0077634662921346,32,97.16928920762,11.426171714898741,0,178
seed5,2,adaptive,True,27.74,5,5,0,0.542,2749,7339.723076923077,2.610146153846154,0.5970162461538462,2.0115318692307693,1.2481566846153846,29,98.72012055635749,11.59251792141806,0,130
seed5,3,full,True,27.91,5,5,0,0.469,2777,24883.374149659863,5.539308707482993,2.0091617414965985,3.5281903945578232,1.8312654149659864,,97.87226872611424,10.91877711888977,0,147
seed5,3,sector,True,28.03,5,5,0,0.481,2790,7096.576923076923,2.6380068461538464,0.6174236615384616,2.0187677923076923,1.2599598384615385,31,96.29074002370913,11.086814831833816,0,130
seed5,3,adaptive,True,28.3,5,5,0,0.495,2796,6915.045454545455,2.3680615170454544,0.5853209375,1.7811017727272729,1.0804189318181818,29,95.99249993883186,11.378137475758626,0,176
seed5,4,full,True,28.59,5,5,0,0.532,2828,24692.126666666667,5.316724533333334,1.9883597533333335,3.3264069333333333,1.6819831133333334,,98.20894831072071,10.296214193933038,0,150
seed5,4,sector,True,28.62,5,5,0,0.455,2842,7044.072727272727,2.3123853757575756,0.6160730121212121,1.6940119393939395,1.0131452666666667,30,95.61164977846025,10.781056560423108,0,165
seed5,4,adaptive,True,29.07,5,5,0,0.506,2889,7335.214285714285,2.7370676825396827,0.6391184523809524,2.0962419841269844,1.3166401031746031,31,96.82106134227585,11.292660122920609,0,126
seed5,5,full,True,27.87,5,5,0,0.435,2758,23677.145161290322,5.477572580645162,1.9067455,3.568888064516129,1.8552447580645162,,99.58451695409808,10.630739617034926,0,124
seed5,5,sector,True,28.22,5,5,0,0.41,2807,7287.588957055214,2.2907594785276073,0.5999257607361963,1.6891061963190184,1.0191658036809816,30,97.06884343598804,11.149572685068671,0,163
seed5,5,adaptive,True,28.33,5,5,0,0.458,2795,7245.289940828402,2.393123343195266,0.623917076923077,1.7674819822485208,1.050643597633136,30,96.47533604550796,11.26119890781693,0,169
seed6,1,full,True,27.26,5,5,0,0.564,2707,25636.513513513513,6.107921981981982,2.0809965765765766,4.024995144144144,2.14643545045045,,97.17548225962933,10.977932713376438,0,111
seed6,1,sector,True,28.55,5,5,0,0.437,2841,7595.562091503268,2.3928766993464055,0.6362991764705882,1.7547089150326798,1.063625156862745,31,97.00207744721294,11.387033303692164,0,153
seed6,1,adaptive,True,27.37,5,5,0,0.467,2631,7718.983050847458,2.37490709039548,0.6431844971751413,1.7300362542372882,1.042172316384181,30,96.56452745629117,11.51217194749825,0,177
seed6,2,full,True,28.19,5,5,0,0.235,2779,24911.666666666668,6.29591696969697,1.9764324242424243,4.317484131313131,2.23152996969697,,96.6006352454466,10.286861079647368,0,99
seed6,2,sector,True,26.77,5,5,0,0.49,2636,7579.664596273292,2.4187013664596275,0.6594948385093167,1.7573996583850933,1.0611355776397515,30,96.09849196704354,11.742847081343402,0,161
seed6,2,adaptive,True,27.76,5,5,0,0.411,2728,7206.218309859155,2.4739288239436616,0.6025128098591549,1.8698135633802817,1.1519999929577465,29,95.46501908775379,11.08301562340928,0,142
seed6,3,full,True,27.32,5,5,0,0.511,2713,24927.573913043478,5.907498173913043,1.967468956521739,3.9380984434782613,2.1111370782608696,,94.9866474440841,10.67986230929005,0,115
seed6,3,sector,True,26.49,5,5,0,0.467,2612,7417.239726027397,2.4265197739726028,0.6478670136986301,1.7768398561643837,1.0838267602739726,31,95.09732265815252,11.970596867451045,0,146
seed6,3,adaptive,True,27.34,5,5,0,0.51,2620,7193.789115646258,2.501201088435374,0.6207752448979592,1.87866431292517,1.1445228707482993,29,96.31972262916842,11.550125431476834,0,147
seed6,4,full,True,27.48,5,5,0,0.494,2639,23032.385542168675,6.539216024096386,1.8741054337349397,4.663243807228915,2.6093503734939762,,98.16221571745713,10.482649282474476,0,83
seed6,4,sector,True,26.68,5,5,0,0.332,2624,8016.1506849315065,2.5454360342465754,0.6845254452054794,1.8590906369863014,1.1406735684931506,32,96.61804780930252,11.692578175135145,0,146
seed6,4,adaptive,True,26.5,5,5,0,0.39,2614,7582.007299270073,2.5919880145985403,0.6573262189781022,1.9328864744525547,1.1892846350364963,30,96.88820003099107,11.238791912770992,0,137
seed6,5,full,True,27.77,5,5,0,0.538,2751,25602.165413533836,5.556258421052632,1.9983817293233084,3.5558113684210526,1.8472405714285713,,96.58301663173691,10.512490928321627,0,133
seed6,5,sector,True,27.92,5,5,0,0.469,2675,7511.610294117647,2.610823625,0.664526919117647,1.9445846397058824,1.207842411764706,30,96.9266336424656,11.158461591869493,0,136
